task_id,task_description,category,priority,status,created_date,due_date,estimated_hours,story_points,assignee_id,assignee_experience_years,assignee_open_tasks,days_to_deadline
TASK-12157,Add bulk export to CSV from the profile settings,Feature,Low,Blocked,2026-05-13,2026-05-31,9.9,2.0,USER-10,10.8,7,18
TASK-10453,Look into user reports about the mobile app,Research,High,Completed,2026-05-24,2026-06-18,12.9,2.0,USER-16,3.2,2,25
TASK-12716,Perform load testing on the checkout flow before release,Testing,Low,In Progress,2026-04-09,2026-04-23,6.3,8.0,USER-11,0.8,18,14
TASK-16240,Fix the crash in the analytics pipeline when the user submits an empty form,Bug Fix,Medium,Completed,2026-02-14,2026-02-19,1.5,1.0,USER-05,2.8,3,5
TASK-15364,Build a filtering and sorting option for the admin panel,Feature,Low,Completed,2026-03-16,2026-04-05,4.3,3.0,USER-18,8.1,15,20
TASK-12885,Implement dark mode support for the inventory module,Feature,Medium,Completed,2026-06-16,2026-07-15,5.9,1.0,USER-22,2.5,15,29
TASK-15304,Implement dark mode support for the order tracking page,Feature,Low,Completed,2026-04-18,2026-05-07,10.8,2.0,USER-03,11.1,12,19
TASK-11862,Add role-based access control to the login page,Feature,Medium,Open,2026-02-27,2026-03-30,9.4,2.0,USER-11,0.8,18,31
TASK-13661,Add integration tests for the notification service endpoints,Testing,Medium,Completed,2026-03-25,2026-03-29,6.9,13.0,USER-01,5.9,15,4
TASK-14291,Fix incorrect totals displayed in the inventory module after a refund,Deployment,Medium,Completed,2026-01-28,2026-02-08,8.5,2.0,USER-14,3.6,18,11
TASK-12887,Configure CI/CD pipeline for the login page,Deployment,Critical,Blocked,2026-01-21,2026-01-22,16.0,3.0,USER-12,14.6,4,1
TASK-17371,Review and improve test coverage of the order tracking page,Testing,High,In Progress,2026-04-28,2026-05-07,5.8,13.0,USER-10,10.8,7,9
TASK-12510,Perform load testing on the notification service before release,Testing,Medium,Completed,2026-06-04,2026-06-07,7.6,3.0,USER-21,9.4,8,3
TASK-15028,Update the API reference after the recent changes to the user dashboard,Documentation,Low,Blocked,2026-03-21,2026-03-25,2.6,13.0,USER-23,4.7,3,4
TASK-15119,Roll back the faulty release of the mobile app and verify stability,Deployment,Medium,In Progress,2026-06-01,2026-06-16,3.0,1.0,USER-25,7.1,17,15
TASK-11559,Deploy the latest release of the email scheduler to production,Deployment,High,Completed,2026-05-14,2026-05-25,8.1,2.0,USER-01,5.9,15,11
TASK-15198,Evaluate third-party libraries for improving the admin panel,Deployment,Low,In Progress,2026-05-20,2026-06-07,7.5,2.0,USER-14,3.6,18,18
TASK-14653,Improve performance of the authentication service,Maintenance,Low,Open,2026-06-05,2026-07-06,3.5,2.0,USER-17,4.9,20,31
TASK-14076,Prepare a troubleshooting FAQ for the chat widget,Documentation,Medium,Open,2026-04-25,2026-04-28,2.4,13.0,USER-20,4.7,12,3
TASK-17009,Upgrade outdated dependencies used by the email scheduler,Maintenance,Medium,Completed,2026-04-21,2026-04-29,1.7,1.0,USER-22,2.5,15,8
TASK-14247,Add bulk export to CSV from the chat widget,Feature,Low,In Progress,2026-04-05,2026-06-30,7.7,5.0,USER-19,6.8,7,86
TASK-13960,Review recent changes made to the report module,Testing,Low,Completed,2026-04-17,2026-04-29,4.5,1.0,USER-19,6.8,7,12
TASK-10349,Add multi-language support to the report module,Feature,Medium,In Progress,2026-02-02,2026-03-08,16.9,5.0,USER-18,8.1,15,34
TASK-14362,Implement pagination and lazy loading for the payment gateway,Feature,Medium,Blocked,2026-03-22,2026-04-13,14.4,8.0,USER-18,8.1,15,22
TASK-16890,Update dependencies and re-test the billing system,Maintenance,High,Open,2026-06-13,2026-06-17,6.7,2.0,USER-23,4.7,3,4
TASK-13971,Improve error handling in the mobile app,Bug Fix,Critical,In Progress,2026-03-24,2026-03-26,1.5,1.0,USER-20,4.7,12,2
TASK-11345,Add integration tests for the inventory module endpoints,Testing,Medium,Completed,2026-02-03,2026-02-13,8.0,2.0,USER-13,12.6,14,10
TASK-13912,Improve performance of the user dashboard,Maintenance,Low,Completed,2026-02-22,2026-03-06,3.9,8.0,USER-17,4.9,20,12
TASK-14988,Fix incorrect totals displayed in the notification service after a refund,Bug Fix,Critical,In Progress,2026-01-09,2026-01-11,3.4,1.0,USER-15,3.1,9,2
TASK-13047,Fix the timeout issue in the notification service when the network is slow,Bug Fix,High,Blocked,2026-06-19,2026-06-22,4.2,1.0,USER-25,7.1,17,3
TASK-10472,Update configuration for the file upload service,Deployment,Medium,Open,2026-03-03,2026-03-12,2.4,5.0,USER-21,9.4,8,9
TASK-14557,Implement dark mode support for the search API,Feature,Medium,Completed,2026-03-02,2026-03-09,12.0,3.0,USER-01,5.9,15,7
TASK-13653,Document the deployment steps for the notification service,Documentation,Low,Open,2026-06-02,2026-06-19,2.8,13.0,USER-02,14.3,19,17
TASK-12492,Analyze current behavior of the payment gateway,Research,Medium,Completed,2026-05-27,2026-06-25,5.5,1.0,USER-09,9.2,9,29
TASK-12189,Correct the wrong currency formatting shown on the user dashboard,Bug Fix,Medium,Open,2026-05-31,2026-06-13,8.4,2.0,USER-22,2.5,15,13
TASK-12521,Archive old logs generated by the analytics pipeline,Maintenance,Low,Open,2026-05-09,2026-05-26,3.0,5.0,USER-13,12.6,14,17
TASK-10457,Fix incorrect totals displayed in the database layer after a refund,Bug Fix,High,Open,2026-01-16,2026-01-18,2.7,1.0,USER-10,10.8,7,2
TASK-10712,Implement dark mode support for the report module,Feature,Critical,Completed,2026-06-15,2026-06-18,17.4,3.0,USER-18,8.1,15,3
TASK-11373,Improve error handling in the user dashboard,Feature,Medium,Completed,2026-04-20,2026-04-24,9.7,2.0,USER-12,14.6,4,4
TASK-17845,[HIGH IMPACT] Fix the timeout issue in the notification service when the network is slow,Bug Fix,Critical,Completed,2026-02-10,2026-02-11,2.3,3.0,USER-15,3.1,9,1
TASK-14523,Implement pagination and lazy loading for the search API,Feature,Low,Open,2026-06-30,2026-08-06,16.5,3.0,USER-04,9.2,20,37
TASK-17941,Create onboarding notes explaining how the billing system works,Documentation,Low,Completed,2026-03-14,2026-04-03,5.2,13.0,USER-14,3.6,18,20
TASK-12650,Add bulk export to CSV from the user dashboard,Feature,Medium,In Progress,2026-02-22,2026-03-18,25.0,8.0,USER-16,3.2,2,24
TASK-17330,Implement pagination and lazy loading for the search API,Feature,High,Open,2026-03-05,2026-03-26,21.5,5.0,USER-03,5.9,12,21
TASK-14945,Perform load testing on the billing system before release,Testing,Medium,Completed,2026-02-17,2026-03-04,9.6,1.0,USER-09,5.9,9,15
TASK-17715,Fix broken layout of the order tracking page on small screens,Bug Fix,Critical,Open,2026-05-12,2026-05-13,4.3,1.0,USER-23,4.7,3,1
TASK-12094,Improve performance of the admin panel,Maintenance,Medium,Completed,2026-04-09,2026-04-27,8.0,2.0,USER-12,14.6,4,18
